date,Community name,COMM_CODE,Number of taxable accounts,Median assessed value
2016,Hounsfield Heights/Briar Hill,HOU,1263,638000
2016,Huntington Hills,HUN,4559,386000
2016,Inglewood,ING,2317,425000
2016,Kelvin Grove,KEL,577,786000
2016,Killarney/Glengarry,KIL,3155,562000
2016,Kincora,KCA,2231,525000
2016,Kingsland,KIN,1402,442000
2016,Lake Bonavista,LKB,5122,575000
2016,Lakeview,LKV,1987,583000
2016,Legacy,LEG,859,431000
2016,Lincoln Park,LPK,1493,267000
2016,Macewan,MAC,1693,417000
2016,Mahogany,MAH,2790,532000
2016,Manchester,MAN,189,175000
2016,Maple Ridge,MPL,806,505000
2016,Marlborough,MRL,2570,351000
2016,Marlborough Park,MPK,2904,347000
2016,Martindale,MRT,3760,349000
2016,Mayfair,MAF,156,1150000
2016,Mayland Heights,MAL,2024,440000
2016,Mckenzie Lake,MCK,4583,494000
2016,Mckenzie Towne,MCT,8541,366000
2016,Meadowlark Park,MEA,277,628000
2016,Midnapore,MID,2528,387000
2016,Millrise,MLR,3275,383000
2016,Mission,MIS,2859,331000
2016,Monterey Park,MOR,3224,385000
2016,Montgomery,MON,1713,454000
2016,Mount Pleasant,MOP,2276,582000
2016,Lower Mount Royal,LMR,1655,313000
2016,New Brighton,NEB,4152,451000
2016,Nolan Hill,NOL,1339,495000
2016,North Glenmore Park,NGM,891,630000
2016,North Haven,NHV,822,480000
2016,North Haven Upper,NHU,245,510000
2016,Oakridge,OAK,2256,502000
2016,Ogden,OGD,2888,344000
2016,Palliser,PAL,1408,485000
2016,Panorama Hills,PAN,9097,519000
2016,Parkdale,PKD,1017,620000
2016,Parkhill/Stanley Park,PKH,715,660000
2016,Parkland,PKL,1545,563000
2016,Patterson,PAT,2074,410000
2016,Penbrooke Meadows,PEN,2853,308000
2016,Pineridge,PIN,3160,329000
2016,Point Mckay,POI,848,426000
2016,Pump Hill,PUM,434,942000
2016,Queensland,QLD,1824,366000
2016,Ramsay,RAM,813,456000
2016,Ranchlands,RAN,2762,354000
2016,Red Carpet/Mountview Mobile Park,RED,1054,58000
2016,Renfrew,REN,3161,447000
2016,Richmond,RIC,1957,637000
2016,Rideau Park,RID,372,399000
2016,Riverbend,RIV,3432,421000
2016,Rocky Ridge,ROC,3908,472000
2016,Rosedale,RDL,582,923000
2016,Rosemont,RMT,437,609000
2016,Rosscarrock,RCK,841,544000
2016,Roxboro,ROX,159,1270000
2016,Royal Oak,ROY,5117,515000
2016,Rundle,RUN,3045,367000
2016,Rutland Park,RUT,449,565000
2016,Saddle Ridge,SAD,5061,408000
2016,Sage Hill,SGH,2227,461000
2016,Sandstone Valley,SAN,2109,421000
2016,Scarboro,SCA,330,963000
2016,Scarboro/Sunalta West,SSW,161,832000
2016,Scenic Acres,SCE,2905,528000
2016,Shaganappi,SHG,632,588000
2016,Shawnee Slopes,SHS,1021,535000
2016,Shawnessy,SHN,3604,404000
2016,Sherwood,SHW,1440,574000
2016,Signal Hill,SIG,6088,575000
2016,Silver Springs,SIL,3468,476000
2016,Silverado,SVO,2501,442000
2016,Skyview Ranch,SKR,3527,387000
2016,Somerset,SOM,3323,413000
2016,South Calgary,SOC,2197,517000
2016,Southview,SOV,609,361000
2016,Southwood,SOW,2195,400000
2016,Springbank Hill,SPH,3771,696000
2016,Spruce Cliff,SPR,2856,409000
2016,St. Andrews Heights,STA,536,739000
2016,Strathcona Park,STR,2376,633000
2016,Sunalta,SNA,1289,253000
2016,Sundance,SDC,3208,475000
2016,Sunnyside,SSD,2002,401000
2016,Taradale,TAR,4543,372000
2016,Temple,TEM,3405,353000
2016,Thorncliffe,THO,2913,402000
2016,Tuscany,TUS,6978,517000
2016,Tuxedo Park,TUX,1926,464000
2016,University Heights,UNI,506,774000
2016,Upper Mount Royal,UMR,912,1620000
2016,Valley Ridge,VAL,2110,581000
2016,Varsity,VAR,5464,511000
2016,Vista Heights,VIS,637,366000
2016,Walden,WAL,1253,434000
2016,West Hillhurst,WHL,2468,676000
2016,West Springs,WSP,3258,648000
2016,West Springs,WSP,3415,644000
2016,Westgate,WGT,1152,516000
2016,Whitehorn,WHI,3490,357000
2016,Whitehorn,WHI,3492,357000
2016,Wildwood,WLD,1037,644000
2016,Wildwood,WLD,1037,644000
2016,Willow Park,WIL,2003,498000
2016,Willow Park,WIL,2008,498000
2016,Windsor Park,WND,1758,255000
2016,Windsor Park,WND,1785,257000
2016,Winston Heights/Mountview,WIN,1472,492000
2016,Winston Heights/Mountview,WIN,1496,493000
2016,Woodbine,WBN,3337,450000
2016,Woodlands,WOO,2066,450000
2016,Woodlands,WOO,2067,450000
2017,Abbeydale,ABB,1804,305000
2017,Acadia,ACA,3854,385000
2017,Albert Park/Radisson Heights,ALB,1918,318000
2017,Altadore,ALT,2855,738000
2017,Alyth/Bonnybrook,AYB,3,104000
2017,Applewood Park,APP,1795,362000
2017,Arbour Lake,ARB,4332,449000
2017,Aspen Woods,ASP,3371,798000
2017,Auburn Bay,AUB,5755,463000
2017,Banff Trail,BNF,1248,580000
2017,Bankview,BNK,2249,265000
2017,Bayview,BYV,248,987000
2017,Beddington Heights,BED,4071,346000
2017,Belaire,BEL,158,1640000
2017,Beltline,BLN,17776,306000
2017,Bonavista Downs,BDO,368,407000
2017,Bowness,BOW,3786,354000
2017,Braeside,BRA,2536,373000
2017,Brentwood,BRE,3410,495000
2017,Bridgeland/Riverside,BRD,3245,401000
2017,Bridlewood,BRI,4756,381000
2017,Britannia,BRT,288,1475000
2017,Cambrian Heights,CAM,701,540000
2017,Canyon Meadows,CAN,3136,418000
2017,Capitol Hill,CAP,1449,535000
2017,Castleridge,CAS,1657,317000
2017,Cedarbrae,CED,2344,358000
2017,Chaparral,CHA,4400,468000
2017,Charleswood,CHW,1321,546000
2017,Chinatown,CHN,1216,335000
2017,Chinook Park,CHK,525,673000
2017,Christie Park,CHR,725,647000
2017,Citadel,CIT,3619,431000
2017,Cityscape,CSC,806,348000
2017,Cliff Bungalow,CLI,844,296000
2017,Coach Hill,COA,1482,393000
2017,Collingwood,COL,839,537000
2017,Copperfield,CPF,5483,373000
2017,Coral Springs,COR,1474,471000
2017,Cougar Ridge,CGR,2361,559000
2017,Country Hills,COU,1562,373000
2017,Country Hills Village,CHV,2231,260000
2017,Coventry Hills,COV,5510,394000
2017,Cranston,CRA,7127,450000
2017,Crescent Heights,CRE,3101,374000
2017,Crestmont,CRM,487,607000
2017,Currie Barracks,CUR,887,730000
2017,Dalhousie,DAL,3672,440000
2017,Deer Ridge,DRG,1383,347000
2017,Deer Run,DRN,2101,387000
2017,Diamond Cove,DIA,271,521000
2017,Discovery Ridge,DIS,2278,663000
2017,Douglasdale/Glen,DDG,5122,460000
2017,Dover,DOV,4136,285000
2017,Downtown Commercial Core,DNC,3209,151000
2017,Downtown East Village,DNE,1863,333000
2017,Downtown West End,DNW,2362,339000
2017,Eagle Ridge,EAG,108,1470000
2017,Eau Claire,EAU,2805,469000
2017,Edgemont,EDG,5363,552000
2017,Elbow Park,EPK,1180,1260000
2017,Elboya,EYA,690,742000
2017,Erin Woods,ERI,2349,309000
2017,Erlton,ERL,1118,406000
2017,Evanston,EVN,5148,458000
2017,Evergreen,EVE,7968,460000
2017,Fairview,FAI,1254,395000
2017,Falconridge,FAL,2867,301000
2017,Forest Heights,FHT,1891,290000
2017,Forest Lawn,FLN,1952,308000
2017,Garrison Green,GAG,985,569000
2017,Garrison Woods,GAW,1964,520000
2017,Glamorgan,GLA,2349,417000
2017,Glenbrook,GBK,2342,396000
2017,Glendale,GDL,980,532000
2017,Greenview,GRV,749,215000
2017,Greenwood/Greenbriar,GRE,501,42000
2017,Hamptons,HAM,2475,649000
2017,Harvest Hills,HAR,2656,413000
2017,Hawkwood,HAW,3499,471000
2017,Haysboro,HAY,3339,392000
2017,Hidden Valley,HID,3849,412000
2017,Highland Park,HPK,1329,468000
2017,Highwood,HIW,808,457000
2017,Hillhurst,HIL,2628,574000
2017,Hounsfield Heights/Briar Hill,HOU,1266,633000
2017,Huntington Hills,HUN,4561,379000
2017,Inglewood,ING,2340,409000
2017,Kelvin Grove,KEL,577,739000
2017,Killarney/Glengarry,KIL,3197,538000
2017,Kincora,KCA,2402,497000
2017,Kingsland,KIN,1404,429000
2017,Lake Bonavista,LKB,5122,554000
2017,Lakeview,LKV,1989,546000
2017,Legacy,LEG,1840,390000
2017,Lincoln Park,LPK,1493,255000
2017,Lower Mount Royal,LMR,1751,298000
2017,MacEwan,MAC,1693,399000
2017,Mahogany,MAH,3202,502000
2017,Manchester,MAN,189,161000
2017,Maple Ridge,MPL,806,489000
2017,Marlborough,MRL,2571,343000
2017,Marlborough Park,MPK,2904,338000
2017,Martindale,MRT,3760,344000
2017,Mayfair,MAF,156,1050000
2017,Mayland Heights,MAL,2024,425000
2017,McKenzie Lake,MCK,4583,465000
2017,McKenzie Towne,MCT,8541,353000
2017,Meadowlark Park,MEA,277,615000
2017,Midnapore,MID,2526,371000
2017,Millrise,MLR,3275,374000
2017,Mission,MIS,2977,307000
2017,Monterey Park,MOR,3224,378000
2017,Montgomery,MON,1721,433000
2017,Mount Pleasant,MOP,2289,571000
2017,New Brighton,NEB,4305,429000
2017,Nolan Hill,NOL,1888,469000
2017,North Glenmore Park,NGM,890,594000
2017,North Haven,NHV,822,463000
2017,North Haven Upper,NHU,245,472000
2017,Oakridge,OAK,2256,483000
2017,Ogden,OGD,2883,331000
2017,Palliser,PAL,1408,467000
2017,Panorama Hills,PAN,9100,495000
2017,Parkdale,PKD,1115,605000
2017,Parkhill/Stanley Park,PKH,828,619000
2017,Parkland,PKL,1545,543000
2017,Patterson,PAT,2074,389000
2017,Penbrooke Meadows,PEN,2851,300000
2017,Pineridge,PIN,3160,322000
2017,Point Mckay,POI,848,412000
2017,Pump Hill,PUM,434,866000
2017,Queensland,QLD,1824,356000
2017,Ramsay,RAM,815,450000
2017,Ranchlands,RAN,2762,340000
2017,Red Carpet/Mountview Mobile Park,RED,1055,66000
2017,Redstone,RSN,1016,407000
2017,Renfrew,REN,3249,428000
2017,Richmond,RIC,2000,609000
2017,Rideau Park,RID,371,385000
2017,Riverbend,RIV,3432,406000
2017,Rocky Ridge,ROC,3939,458000
2017,Rosedale,RDL,582,898000
2017,Rosemont,RMT,437,589000
2017,Rosscarrock,RCK,851,497000
2017,Roxboro,ROX,153,1160000
2017,Royal Oak,ROY,5117,493000
2017,Rundle,RUN,3045,357000
2017,Rutland Park,RUT,451,524000
2017,Saddle Ridge,SAD,5358,404000
2017,Sage Hill,SGH,2625,441000
2017,Sandstone Valley,SAN,2109,405000
2017,Scarboro,SCA,330,888000
2017,Scarboro/Sunalta West,SSW,161,761000
2017,Scenic Acres,SCE,2905,509000
2017,Shaganappi,SHG,746,573000
2017,Shawnee Slopes,SHS,1029,503000
2017,Shawnessy,SHN,3604,392000
2017,Sherwood,SHW,1587,543000
2017,Signal Hill,SIG,6092,555000
2017,Silver Springs,SIL,3469,459000
2017,Silverado,SVO,2558,421000
2017,Skyview Ranch,SKR,3877,362000
2017,Somerset,SOM,3322,398000
2017,South Calgary,SOC,2316,500000
2017,Southview,SOV,609,355000
2017,Southwood,SOW,2195,389000
2017,Springbank Hill,SPH,3779,672000
2017,Spruce Cliff,SPR,2856,383000
2017,St. Andrews Heights,STA,537,689000
2017,Strathcona Park,STR,2376,595000
2017,Sunalta,SNA,1291,241000
2017,Sundance,SDC,3208,455000
2017,Sunnyside,SSD,2122,379000
2017,Taradale,TAR,4544,368000
2017,Temple,TEM,3404,342000
2017,Thorncliffe,THO,2913,385000
2017,Tuscany,TUS,7019,491000
2017,Tuxedo Park,TUX,1940,450000
2017,University Heights,UNI,507,745000
2017,Upper Mount Royal,UMR,917,1540000
2017,Valley Ridge,VAL,2112,561000
2017,Varsity,VAR,5659,495000
2017,Vista Heights,VIS,637,353000
2017,Walden,WAL,1481,431000
2017,West Hillhurst,WHL,2484,640000
2017,West Springs,WSP,3413,607000
2017,Westgate,WGT,1152,486000
2017,Whitehorn,WHI,3490,350000
2017,Wildwood,WLD,1036,616000
2017,Willow Park,WIL,2003,483000
2017,Windsor Park,WND,1770,239000
2017,Winston Heights/Mountview,WIN,1443,483000
2017,Woodbine,WBN,3336,435000
2017,Woodlands,WOO,2066,433000
